,positive,negative,neutral
0,-0.48158854,0.9593004,-0.17419894
1,-0.46705553,1.0502414,-0.12608229
2,-0.47753283,0.9776692,-0.1565486
3,-0.46479905,1.0201032,-0.13653524
4,-0.43548906,1.0373764,-0.12646703
5,-0.51395357,0.99984133,-0.14182167
6,-0.479648,1.0473657,-0.12461148
7,-0.4716628,1.0530332,-0.13251604
8,-0.47123268,0.98830795,-0.13701908
9,-0.47102323,1.006071,-0.14734544
10,-0.4681726,1.0279771,-0.1198947
11,-0.48572946,1.0168922,-0.1440912
12,-0.45450282,1.0174329,-0.117716685
13,-0.4449559,0.99570173,-0.15746893
14,-0.37175572,1.0669526,-0.100140855
15,-0.5062481,0.9731453,-0.14577629
16,-0.44899872,1.069517,-0.09482725
17,-0.45259845,1.0541182,-0.115161255
18,-0.4775347,1.0035903,-0.14718033
19,-0.4255243,0.9528437,-0.11075221
20,-0.4247037,1.0549183,-0.14766692
21,-0.46685037,1.0319824,-0.1323065
22,-0.470332,0.97892195,-0.1815298
23,-0.43763462,1.044614,-0.101316884
24,-0.4584177,1.0963365,-0.06798048
25,-0.42496997,1.0619422,-0.13165121
26,-0.47951365,0.9972445,-0.13708185
27,-0.453705,1.0017945,-0.12746723
28,-0.4359078,1.0391176,-0.08786355
29,-0.44809353,1.0881242,-0.12539138
30,-0.447017,1.0014353,-0.14256309
31,-0.44240078,1.0648605,-0.063469395
32,-0.43348274,1.0543338,-0.11431517
33,-0.45775658,1.0172449,-0.12949117
34,-0.44862854,1.0598334,-0.08492841
35,-0.4709955,1.0356166,-0.14580609
36,-0.40574792,1.0213042,-0.15249129
37,-0.47006068,0.9913884,-0.1460386
38,-0.47016877,0.98780435,-0.12699084
39,-0.5341797,0.9770918,-0.16272844
40,-0.47379506,1.0114608,-0.16184409
41,-0.4960886,0.99472624,-0.12815483
42,-0.45113078,1.0443851,-0.12763889
43,-0.47586387,1.0061499,-0.09938742
44,-0.48462734,1.0347456,-0.13083188
45,-0.4486505,1.0281655,-0.13976838
46,-0.4715032,0.97099656,-0.115106985
47,-0.45965815,1.0214868,-0.094897315
48,-0.5274893,0.91442776,-0.07250945
49,-0.4365387,1.0317472,-0.1302423
50,-0.45627007,1.019165,-0.137727
51,-0.4534312,1.0314467,-0.15902697
52,-0.44478387,1.036293,-0.088289425
53,-0.40044808,1.0810071,-0.13215153
54,-0.48110086,0.969817,-0.15053977
55,-0.454321,1.0438951,-0.12962623
56,-0.41338834,1.003655,-0.107179955
57,-0.47829923,1.0493824,-0.12411331
58,-0.43267107,1.0383204,-0.12929036
59,-0.4705789,1.0171125,-0.13908492
60,-0.48146123,1.0286388,-0.14787115
61,-0.45047125,1.0305011,-0.1104642
62,-0.43154052,1.0442523,-0.11658634
63,-0.45511508,0.9974203,-0.16070001
64,-0.45485622,1.0502857,-0.094686404
65,-0.48105225,1.0313456,-0.12953435
66,-0.41549608,1.0350384,-0.078922525
67,-0.43778592,1.0404395,-0.13592912
68,-0.45716846,1.0117385,-0.1017247
69,-0.5185442,0.9309618,-0.1567712
70,-0.4561305,1.0057673,-0.13607608
71,-0.494771,0.96803284,-0.12291993
72,-0.46892154,1.0448793,-0.14667062
73,-0.43441004,1.0344758,-0.11789371
74,-0.4724891,1.0027539,-0.14245377
75,-0.4807829,1.0053307,-0.13546477
76,-0.4435938,0.9686248,-0.13776083
77,-0.4423558,0.9658061,-0.11953141
78,-0.46291474,1.0077038,-0.12866719
79,-0.50232756,1.0041087,-0.10975589
80,-0.47949392,1.0321853,-0.15840177
81,-0.45942104,1.0159341,-0.13374929
82,-0.49431732,1.0132442,-0.14036362
83,-0.41414398,1.0473391,-0.10810606
84,-0.4522097,1.0101767,-0.08507396
85,-0.4571022,1.0195866,-0.14435892
86,-0.44659895,1.0262519,-0.1235819
87,-0.47297913,1.0459341,-0.1689298
88,-0.46532774,1.0185071,-0.095871255
89,-0.46661577,1.0321472,-0.10193454
90,-0.4845364,0.9966029,-0.16430314
91,-0.49033254,0.9912315,-0.117930695
92,-0.44675052,1.0447208,-0.11531778
93,-0.47210735,0.996978,-0.121782675
94,-0.39471316,1.0988983,-0.094600126
95,-0.5007481,1.0043113,-0.13704713
96,-0.4655398,1.0324591,-0.13982813
97,-0.475509,0.98195904,-0.14190958
98,-0.48086497,1.0113362,-0.16053392
99,-0.48209226,1.0149727,-0.17340474
100,-0.4427838,1.0408721,-0.11259635
101,-0.47152752,1.0568248,-0.12931494
102,-0.48465544,0.9652608,-0.1012093
103,-0.42443413,1.0743271,-0.15497361
104,-0.4999669,1.0012628,-0.15651263
105,-0.5052142,1.0125413,-0.18228932
106,-0.44081748,1.002484,-0.114802286
107,-0.42498803,1.0107002,-0.12463947
108,-0.50017476,0.98775107,-0.17983712
109,-0.46490937,1.0662421,-0.14946248
110,-0.45682928,1.0037724,-0.11864342
111,-0.4554193,0.99914867,-0.15512793
112,-0.47526318,0.98179626,-0.15847649
113,-0.4274928,1.0506141,-0.1644303
114,-0.44996002,1.0037459,-0.14829446
115,-0.46365854,0.95328623,-0.11392026
116,-0.48522344,1.0345682,-0.15282162
117,-0.45130765,1.0239652,-0.15776671
118,-0.4550923,1.0617424,-0.12893926
119,-0.40000108,1.0646003,-0.099626586
120,-0.41444325,0.9997172,-0.114999756
121,-0.4501752,1.040023,-0.11885409
122,-0.46719122,1.0116057,-0.117243126
123,-0.41025978,1.0569896,-0.08983506
124,-0.45307747,1.023569,-0.13771485
125,-0.4107216,1.0507027,-0.11844213
126,-0.45083964,0.9973505,-0.1493056
127,-0.48641354,0.9855856,-0.17163639
128,-0.44227475,1.0030904,-0.14547502
129,-0.4671951,1.00923,-0.1340454
130,-0.47620255,1.0237359,-0.1422569
131,-0.4325618,1.0316677,-0.15510945
132,-0.43997994,1.0562638,-0.13770674
133,-0.45301726,1.0137742,-0.11426227
134,-0.4211057,1.0170355,-0.12180807
135,-0.42519718,1.058483,-0.1260914
136,-0.4531772,1.0485808,-0.1199698
137,-0.45650783,1.0182524,-0.1499707
138,-0.4543686,1.0281376,-0.14129622
139,-0.45563266,1.0456513,-0.13399054
140,-0.4370698,1.0696476,-0.15313356
141,-0.46080148,1.0116436,-0.12879767
142,-0.47879392,1.0381238,-0.12821458
143,-0.47028953,1.0444686,-0.1449313
144,-0.46236938,1.0492876,-0.13382153
145,-0.46442872,1.0106375,-0.14620359
146,-0.4279783,1.0201092,-0.11492817
147,-0.48407316,0.9797651,-0.16753684
148,-0.44726008,1.0429485,-0.14927627
149,-0.48603016,0.97467345,-0.2032438
150,-0.43695515,1.0591927,-0.0973974
151,-0.47312748,0.9904125,-0.14755754
152,-0.5079291,0.9667481,-0.1251965
153,-0.4432763,1.0716717,-0.1141464
154,-0.46270478,1.0079715,-0.14240979
155,-0.46317613,0.9627084,-0.14161666
156,-0.43390235,1.0147636,-0.16218944
157,-0.45601887,1.0297443,-0.123234615
158,-0.4643376,1.0087684,-0.124410585
159,-0.4780166,1.0130733,-0.16710638
160,-0.47700778,1.0152981,-0.13651715
161,-0.4607048,1.0388067,-0.14814566
162,-0.48130804,0.959377,-0.17956124
163,-0.43441975,1.0498648,-0.16514455
164,-0.48141545,1.0180725,-0.1819716
165,-0.4631269,0.9961231,-0.13789527
166,-0.4544677,1.0279171,-0.11378731
167,-0.46982777,1.0537027,-0.14989461
168,-0.48349154,1.0405564,-0.103462175
169,-0.450414,1.0477482,-0.11282341
170,-0.45703512,0.9963457,-0.1278321
171,-0.45726627,1.0388108,-0.114992484
172,-0.5026405,0.98903996,-0.17583837
173,-0.47668606,1.007674,-0.14372765
174,-0.47817126,1.0234119,-0.13075678
175,-0.48414364,0.9668923,-0.1718414
176,-0.5146108,0.9810287,-0.20518436
177,-0.4694854,1.024391,-0.13818978
178,-0.44226763,1.0321935,-0.15281866
179,-0.44010395,1.0577489,-0.14797778
180,-0.45589796,1.0471377,-0.14556722
181,-0.49847555,0.982017,-0.1621304
182,-0.51704234,0.94841,-0.15394668
183,-0.46556988,1.0505855,-0.13493787
184,-0.46156496,1.0058448,-0.10059093
185,-0.4698016,0.99695534,-0.11167456
186,-0.4777628,1.0169299,-0.14675684
187,-0.45299032,0.979083,-0.13685681
188,-0.4624912,1.0201439,-0.15540688
189,-0.4777337,0.9939702,-0.15023549
190,-0.45155054,1.0687202,-0.094625995
191,-0.46963525,1.000218,-0.14996226
192,-0.47565818,1.0240611,-0.12350391
193,-0.435803,1.0349417,-0.107641384
194,-0.41367632,1.0492315,-0.09598227
195,-0.42641693,1.01006,-0.10990642
196,-0.4563794,1.0365368,-0.15815507
197,-0.4689954,1.0287465,-0.13729762
198,-0.48666668,0.9559309,-0.108665094
199,-0.47627333,1.0405009,-0.1325062
200,-0.47470593,1.0084872,-0.13175388
201,-0.44328767,1.0202177,-0.15333702
202,-0.43264508,1.0362114,-0.09096487
203,-0.43205208,1.0695899,-0.08827998
204,-0.4500845,1.0669718,-0.12605922
205,-0.4362141,1.003096,-0.14492534
206,-0.43809807,1.0611464,-0.1353737
207,-0.49721137,1.0028465,-0.15661319
208,-0.48400322,0.98422146,-0.16656564
209,-0.44453728,1.0221362,-0.16322927
210,-0.45761013,1.0490999,-0.11082734
211,-0.5008025,1.0184904,-0.12899376
212,-0.49816015,0.9770791,-0.17258666
213,-0.4686575,1.0045816,-0.14696617
214,-0.39509982,1.0637516,-0.07348736
215,-0.43614146,1.0332668,-0.122066155
216,-0.40154958,1.0334206,-0.13226984
217,-0.48459592,1.0124054,-0.13147886
218,-0.4655317,1.000951,-0.11207424
